player,position,team
Kylian Mbappé,AT,Real Madrid
Mohamed Salah,AT,Liverpool
Robert Lewandowski,AT,Barcelona
Harry Kane,AT,Bayern Munich
Mateo Retegui,AT,Atalanta
Alexander Isak,AT,Newcastle Utd
Erling Haaland,AT,Manchester City
Ousmane Dembélé,AT,Paris S-G
Serhou Guirassy,AT,Dortmund
Patrik Schick,AT,Leverkusen
Mason Greenwood,AT.LT,Marseille
Ante Budimir,AT,Osasuna
Chris Wood,AT,Nott'ham Forest
Alexander Sørloth,AT,Atlético Madrid
Bryan Mbeumo,AT,Brentford
Ayoze Pérez,AT,Villarreal
Yoane Wissa,AT,Brentford
Moise Kean,AT,Fiorentina
Raphinha,AT.LT,Barcelona
Jonathan Burkardt,AT,Mainz 05
Arnaud Kalimuendo,AT.LT,Rennes
Julián Álvarez,AT,Atlético Madrid
Jonathan David,AT,Lille
Tim Kleindienst,AT,Gladbach
Ollie Watkins,AT,Aston Villa
Riccardo Orsolini,AT,Bologna
Alexandre Lacazette,AT,Lyon
Cole Palmer,LT.AT,Chelsea
Hugo Ekitike,AT,Eint Frankfurt
Oihan Sancet,LT,Athletic Club
Matheus Cunha,LT.AT,Wolves
Ermedin Demirović,AT,Stuttgart
Ademola Lookman,LT.AT,Atalanta
Emanuel Emegha,AT,Strasbourg
Marcus Thuram,AT,Inter
Jean-Philippe Mateta,AT,Crystal Palace
Romelu Lukaku,AT,Napoli
Bradley Barcola,AT,Paris S-G
Jørgen Strand Larsen,AT,Wolves
Benjamin Šeško,AT.LT,RB Leipzig
Kiké,AT,Alavés
Ludovic Ajorque,AT,Brest
Jarrod Bowen,AT.LT,West Ham
Luis Díaz,AT,Liverpool
Nick Woltemade,AT.LT,Stuttgart
Artem Dovbyk,AT,Roma
Lucas Stassin,AT,Saint-Étienne
Scott McTominay,LT,Napoli
Justin Kluivert,LT,Bournemouth
Javi Puado,AT.LT,Espanyol
Lautaro Martínez,AT,Inter
Liam Delap,AT,Ipswich Town
Jamal Musiala,LT,Bayern Munich
Lorenzo Lucca,AT,Udinese
Evann Guessand,AT.LT,Nice
Raúl Jiménez,AT,Fulham
Michael Olise,AT.LT,Bayern Munich
Christian Pulisic,AT.LT,Milan
Vinicius Júnior,AT,Real Madrid
Gaëtan Laborde,AT,Nice
Dodi Lukebakio,AT,Sevilla
Keito Nakamura,AT.LT,Reims
Nikola Krstović,AT,Lecce
Antoine Semenyo,AT,Bournemouth
Hugo Duro,AT,Valencia
Brennan Johnson,AT,Tottenham
Thierno Barry,AT,Villarreal
Alassane Pléa,LT.AT,Gladbach
Shuto Machino,AT.LT,Holstein Kiel
Leroy Sané,AT,Bayern Munich
Andrej Kramarić,LT.AT,Hoffenheim
Borja Iglesias,AT,Celta Vigo
Kevin Schade,AT,Brentford
Paul Nebel,LT,Mainz 05
Danny Welbeck,AT,Brighton
Abdoulaye Touré,LT,Le Havre
Andrey Santos,LT,Strasbourg
Andrea Pinamonti,AT,Genoa
Xavi Simons,LT,RB Leipzig
Dušan Vlahović,AT,Juventus
Dani Olmo,LT.AT,Barcelona
Evanilson,AT,Bournemouth
Fábio Silva,AT,Las Palmas
Cody Gakpo,AT,Liverpool
Mohamed Amoura,AT,Wolfsburg
Ritsu Doan,AT.LT,Freiburg
Nicolas Jackson,AT,Chelsea
Roberto Piccoli,AT,Cagliari
Kaoru Mitoma,AT.LT,Brighton
Tijjani Reijnders,LT,Milan
Gaëtan Perrin,LT.AT,Auxerre
Florian Wirtz,LT.AT,Leverkusen
Valentín Castellanos,AT,Lazio
Hamed Junior Traorè,LT,Auxerre
Gonçalo Ramos,AT,Paris S-G
João Pedro,AT.LT,Brighton
Jens Stage,LT,Werder Bremen
Iago Aspas,AT.LT,Celta Vigo
Mauro Arambarri,LT,Getafe
Alexis Claude-Maurice,LT.AT,Augsburg
Boulaye Dia,LT.AT,Lazio
Esteban Lepaul,AT,Angers
Adrien Rabiot,LT,Marseille
Tomáš Souček,LT,West Ham
Dominic Solanke,AT,Tottenham
Mikel Oyarzabal,AT,Real Sociedad
Deniz Undav,AT.LT,Stuttgart
Matthis Abline,AT,Nantes
Zuriko Davitashvili,AT.LT,Saint-Étienne
Jude Bellingham,LT,Real Madrid
Loïs Openda,AT.LT,RB Leipzig
Isco,LT,Betis
Iliman Ndiaye,AT,Everton
James Maddison,LT,Tottenham
Harvey Barnes,AT,Newcastle Utd
Jamie Vardy,AT,Leicester City
Sandro Ramírez,AT.LT,Las Palmas
Che Adams,AT,Torino
Lamine Yamal,AT,Barcelona
Kai Havertz,AT.LT,Arsenal
Jonas Wind,AT.LT,Wolfsburg
Alex Iwobi,AT.LT,Fulham
Benedict Hollerbach,AT.LT,Union Berlin
Gabriel Martinelli,AT.LT,Arsenal
Florian Thauvin,AT.LT,Udinese
Vincenzo Grifo,AT.LT,Freiburg
Eberechi Eze,LT.AT,Crystal Palace
Adam Hložek,AT.LT,Hoffenheim
Dani Raba,AT.LT,Leganés
Dan Ndoye,AT,Bologna
Diego López,LT.AT,Valencia
Giovani Lo Celso,LT.AT,Betis
Sebastiano Esposito,AT.LT,Empoli
Ismaila Sarr,LT,Crystal Palace
Jamie Gittens,AT.LT,Dortmund
Jacob Murphy,AT,Newcastle Utd
Bruno Fernandes,LT,Manchester Utd
Santiago Castro,AT,Bologna
Leandro Trossard,AT,Arsenal
Beto,AT,Everton
Mattia Zaccagni,AT,Lazio
Maximilian Beier,AT.LT,Dortmund
Rayan Cherki,AT.LT,Lyon
Marvin Ducksch,AT,Werder Bremen
Phil Harres,AT,Holstein Kiel
Neil El Aynaoui,LT,Lens
Morgan Rogers,AT.LT,Aston Villa
Moses Simon,AT.LT,Nantes
Amad Diallo,LT.AT,Manchester Utd
Rafael Leão,AT,Milan
Antoine Griezmann,AT.LT,Atlético Madrid
Denzel Dumfries,ZG.AT,Inter
Vedat Muriqi,AT,Mallorca
Abdallah Sima,AT.LT,Brest
Dango Ouattara,AT,Bournemouth
Serge Gnabry,AT.LT,Bayern Munich
Marvin Pieringer,AT.LT,Heidenheim
Samuel Essende,AT,Augsburg
Karim Adeyemi,AT.LT,Dortmund
Phil Foden,LT.AT,Manchester City
Phillip Tietz,AT,Augsburg
Nadiem Amiri,LT,Mainz 05
Mikel Merino,LT.AT,Arsenal
Son Heung-min,AT,Tottenham
Morgan Gibbs-White,LT,Nott'ham Forest
Charles De Ketelaere,LT.AT,Atalanta
Gorka Guruzeta,AT,Athletic Club
Patrick Cutrone,AT,Como
Noni Madueke,AT,Chelsea
Cyle Larin,AT,Mallorca
Corentin Tolisso,LT,Lyon
Marius Bülter,AT.ZG,Hoffenheim
Lee Jae-sung,LT,Mainz 05
Luis Henrique,ZG.AT,Marseille
Dejan Kulusevski,LT.AT,Tottenham
Alexis Saelemaekers,ZG.AT,Roma
Zakaria Aboukhlal,LT.AT,Toulouse
Alex Baena,LT.AT,Villarreal
Kenan Yıldız,AT.LT,Juventus
Eliesse Ben Seghir,LT.AT,Monaco
Dilane Bakwa,LT.ZG,Strasbourg
Álex Berenguer,AT.LT,Athletic Club
Diogo Jota,AT,Liverpool
Enzo Fernández,LT,Chelsea
Emile Smith Rowe,LT,Fulham
Jorge de Frutos,AT.LT,Rayo Vallecano
Joshua King,AT.LT,Toulouse
M'Bala Nzola,AT,Lens
Sebastian Nanasi,LT.AT,Strasbourg
Iñaki Williams,AT,Athletic Club
Takumi Minamino,LT.AT,Monaco
Enzo Millot,LT.AT,Stuttgart
Federico Valverde,LT.ZG,Real Madrid
Désiré Doué,AT.LT,Paris S-G
Yankuba Minteh,AT.LT,Brighton
Casper Tengstedt,AT,Hellas Verona
Harry Wilson,AT.LT,Fulham
Anthony Elanga,AT.LT,Nott'ham Forest
Nicolás Paz,LT.AT,Como
Fermin López,LT.AT,Barcelona
Joel Pohjanpalo,AT,Venezia
Jens Odgaard,LT.AT,Bologna
Nadir Zortea,ZG.LT,Cagliari
Breel Embolo,AT.LT,Monaco
Bukayo Saka,AT.LT,Arsenal
Lorenzo Colombo,AT.LT,Empoli
Mateo Kovačić,LT,Manchester City
Rodrygo,AT.LT,Real Madrid
Dominik Szoboszlai,LT,Liverpool
Denis Zakaria,LT,Monaco
Romain Del Castillo,AT,Brest
Ludovic Blas,LT.AT,Rennes
Lucas Höler,AT.LT,Freiburg
Lee Kang-in,AT.LT,Paris S-G
Jubal,ZG,Auxerre
Himad Abdelli,LT.AT,Angers
Ange-Yoan Bonny,AT,Parma
Albert Guðmundsson,AT.LT,Fiorentina
Tiago Tomás,AT.LT,Wolfsburg
Alberto Moleiro,AT.LT,Las Palmas
Alejandro Garnacho,LT.AT,Manchester Utd
Steven Skrzybski,LT.AT,Holstein Kiel
Morgan Guilavogui,AT.LT,St. Pauli
Anthony Gordon,AT.LT,Newcastle Utd
Paulo Dybala,AT.LT,Roma
Gabriel Strefezza,AT.LT,Como
Andre-Frank Zambo Anguissa,LT,Napoli
Facundo Buonanotte,AT.LT,Leicester City
Vincent Sierro,LT,Toulouse
Aimar Oroz,LT,Osasuna
Bruno Guimarães,LT,Newcastle Utd
Callum Hudson-Odoi,AT.LT,Nott'ham Forest
Carlos Vicente,AT.LT,Alavés
Mitchell Weiser,ZG.LT,Werder Bremen
Jeremie Frimpong,ZG.LT,Leverkusen
Joan Jordán,LT,Alavés
Jack Hinshelwood,LT.ZG,Brighton
Hakan Çalhanoğlu,LT,Inter
Hákon Arnar Haraldsson,LT.AT,Lille
Christian Nørgaard,LT,Brentford
Georginio Rutter,LT.AT,Brighton
Timothy Weah,ZG.AT,Juventus
Nikola Milenković,ZG,Nott'ham Forest
Nikola Vlašić,LT.AT,Torino
Frank Magri,AT.LT,Toulouse
Nico Williams,AT,Athletic Club
Tom Bischof,LT.AT,Hoffenheim
Takefusa Kubo,LT.AT,Real Sociedad
Mohammed Kudus,AT.LT,West Ham
Issa Soumaré,AT.LT,Le Havre
Joško Gvardiol,ZG,Manchester City
Lassine Sinayoko,AT.LT,Auxerre
Kingsley Coman,AT,Bayern Munich
Juan Cruz,AT.LT,Leganés
Julian Brandt,LT,Dortmund
Rasmus Kristensen,ZG,Eint Frankfurt
Romano Schmid,LT,Werder Bremen
Rubén García,AT.LT,Osasuna
Mathias Honsak,AT.ZG,Heidenheim
Ali Abdi,ZG.LT,Nice
Armin Gigovic,LT,Holstein Kiel
Matìas Soulé,LT.ZG,Roma
Borja Mayoral,AT,Getafe
Matúš Bero,LT,Bochum
Jordan Ayew,AT.LT,Leicester City
Mahdi Camara,LT.AT,Brest
Alexis Mac Allister,LT,Liverpool
Robin Gosens,ZG,Fiorentina
Mamadou Sylla,AT.LT,Valladolid
Marc Cucurella,ZG,Chelsea
Malick Fofana,AT,Lyon
Lucas Beltrán,AT.LT,Fiorentina
Maghnes Akliouche,AT.LT,Monaco
Alfon,AT.LT,Celta Vigo
Vitinha,LT,Paris S-G
Lukas Kübler,ZG,Freiburg
Luis Rioja,LT.AT,Valencia
Willi Orban,ZG,RB Leipzig
Dany Mota,AT.LT,Monza
Yann Gboho,LT.AT,Toulouse
Dennis Man,AT.LT,Parma
Álvaro García,AT.LT,Rayo Vallecano
Achraf Hakimi,ZG,Paris S-G
Oumar Diakité,AT,Reims
Pablo Durán,AT.LT,Celta Vigo
Éderson,LT,Atalanta
Óscar Mingueza,LT.ZG,Celta Vigo
Enrico Del Prato,ZG,Parma
Robin Hack,AT.LT,Gladbach
Rolando Mandragora,LT,Fiorentina
Daniel Muñoz,ZG,Crystal Palace
Daniel Vivian,ZG,Athletic Club
Adrian Beck,LT.AT,Heidenheim
Fabian Schär,ZG,Newcastle Utd
Fabián Ruiz Peña,LT,Paris S-G
Federico Dimarco,ZG.AT,Inter
Felix Nmecha,LT,Dortmund
Khéphren Thuram,LT,Juventus
Bafodé Diakité,ZG,Lille
Leandro Cabrera,ZG,Espanyol
Leon Goretzka,LT.ZG,Bayern Munich
Lucas Paquetá,LT.AT,West Ham
Pedri,LT,Barcelona
André Ayew,AT,Le Havre
Félix Lemaréchal,LT.AT,Strasbourg
Theo Hernández,ZG,Milan
Thilo Kehrer,ZG,Monaco
Thomas Partey,LT.ZG,Arsenal
Sammie Szmodics,AT.LT,Ipswich Town
Kevin De Bruyne,LT.AT,Manchester City
Ansgar Knauff,LT.ZG,Eint Frankfurt
Pape Gueye,LT,Villarreal
Pathé Ciss,LT.ZG,Rayo Vallecano
Gustav Isaksen,AT,Lazio
Habib Diarra,LT.AT,Strasbourg
Christantus Uche,AT.LT,Getafe
Hans Nicolussi Caviglia,LT,Venezia
Hugo Álvarez,LT.ZG,Celta Vigo
Simon Sohm,LT,Parma
Stephy Mavididi,AT,Leicester City
Marten de Roon,LT.ZG,Atalanta
Raphaël Guerreiro,ZG.LT,Bayern Munich
Rasmus Højlund,AT,Manchester Utd
Rayan Aït-Nouri,ZG,Wolves
Raúl Moro,LT.AT,Valladolid
Neal Maupay,AT,Marseille
Isaac Palazón Camacho,LT.AT,Rayo Vallecano
Isaac Romero,AT,Sevilla
Brahim Díaz,AT.LT,Real Madrid
Josué Casimir,AT.LT,Le Havre
Bernardo Silva,LT.AT,Manchester City
Juanlu Sánchez,LT.ZG,Sevilla
